time,open,high,low,close,volume,RSI,SMA_25,SMA_50,wave_tag,tag,strategy_signal
2025-05-30 18:49:00,105878.79,105917.33,105868.45,105908.87,15.0315,84.58326083174009,105732.1476,105618.6676,2,0,0
2025-05-30 18:50:00,105908.87,105910.75,105860.93,105860.93,14.3143,70.15605916678055,105742.4876,105624.49559999998,0,0,0
2025-05-30 18:51:00,105856.23,105856.23,105812.04,105831.79,18.4432,66.1065930131445,105752.1132,105627.2592,1,0,0
2025-05-30 18:52:00,105831.79,105892.89,105831.79,105892.89,3.2493,68.31548245194625,105764.3332,105630.73739999998,0,0,0
2025-05-30 18:53:00,105876.9,105891.95,105876.9,105891.95,1.0584,66.4310865191149,105774.86119999998,105634.8546,0,0,0
2025-05-30 18:54:00,105860.93,105894.76,105836.48,105836.48,23.4205,55.03355704698013,105780.6888,105640.6636,0,0,0
2025-05-30 18:55:00,105836.48,105867.51,105826.15,105867.51,5.7277000000000005,63.408442531791934,105787.8704,105647.3564,0,0,0
2025-05-30 18:56:00,105867.51,105886.31,105831.79,105875.97,67.7413,65.30695935351564,105796.44319999998,105654.2184,0,0,0
2025-05-30 18:57:00,105875.97,105883.48,105872.2,105872.2,3.3312,58.35496613995447,105802.7972,105662.1518,0,0,0
2025-05-30 18:58:00,105872.2,105904.17,105872.2,105904.17,3.2772,63.18268416596002,105809.8284,105671.5706,0,0,0
2025-05-30 18:59:00,105904.17,105932.37,105904.17,105922.03,10.0749,64.42160171831773,105821.6724,105682.2866,2,2,0
2025-05-30 19:00:00,105922.03,105922.03,105835.54,105835.54,24.1822,49.36717382523239,105829.8692,105692.1562,3,0,0
2025-05-30 19:01:00,105835.54,105917.33,105835.54,105879.73,6.6562,49.895629774382414,105836.5624,105702.6656,0,0,0
2025-05-30 19:02:00,105879.73,105879.73,105843.06,105859.98,9.3909,47.991200153784106,105842.7284,105711.6706,0,0,0
2025-05-30 19:03:00,105859.98,105890.06,105847.76,105866.56,5.7084,45.24275337875884,105847.804,105722.5932,0,0,0
2025-05-30 19:04:00,105866.56,105866.56,105847.76,105866.56,4.9551,50.70951480781402,105852.0148,105733.4782,0,0,0
2025-05-30 19:05:00,105857.17,105881.61,105851.53,105881.61,1.1206,56.50969529085908,105855.51200000002,105744.45739999998,0,0,0
2025-05-30 19:06:00,105881.61,105883.48,105875.03,105883.48,0.7222999999999999,48.54528027703014,105860.5876,105753.8196,0,0,0
2025-05-30 19:07:00,105890.06,105901.34,105890.06,105901.34,1.3741,51.37946231820168,105866.6788,105762.3546,0,0,0
2025-05-30 19:08:00,105901.34,105954.93,105901.34,105954.93,15.9704,67.497858008094,105872.3568,105772.2436,0,0,0
2025-05-30 19:09:00,105954.93,105979.37,105917.33,105917.33,20.8734,57.21945281706553,105876.8688,105780.2712,0,0,0
2025-05-30 19:10:00,105917.33,105924.84,105910.75,105924.84,7.5672,57.101339765758354,105881.4932,105788.84739999998,0,0,0
2025-05-30 19:11:00,105924.84,105924.84,105924.84,105924.84,0.9606,57.73389750822763,105884.8396,105795.4648,0,0,0
2025-05-30 19:12:00,105924.84,105924.84,105869.36,105869.4,7.7797,45.22114406663121,105884.3888,105799.8642,0,0,0
2025-05-30 19:13:00,105869.4,105869.4,105859.98,105859.98,0.2838,41.26917123962228,105883.6364,105803.3798,0,0,0
2025-05-30 19:47:00,105780.09,105790.43,105761.29,105774.45,7.5594,41.38096447416701,105878.2596,105805.2036,0,0,0
2025-05-30 19:48:00,105774.45,105774.45,105717.11,105761.29,5.0159,31.68604651162676,105874.274,105808.38079999998,0,0,0
